Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
25,Wade Baldwin\baldwwa01,PG,20,MEM,24,1,12.9,1.1,3.5,.310,0.1,0.8,.111,1.0,2.8,.364,.321,1.1,1.3,.844,0.3,1.1,1.4,2.0,0.6,0.3,1.3,1.3,3.4
26,Leandro Barbosa\barbole01,SG,34,PHO,55,0,13.3,2.4,5.4,.444,0.5,1.3,.406,1.9,4.1,.456,.492,0.4,0.5,.846,0.2,1.2,1.4,1.2,0.4,0.1,0.5,1.1,5.7
27,J.J. Barea\bareajo01,PG,32,DAL,18,5,24.7,4.5,10.7,.422,1.4,4.1,.351,3.1,6.6,.466,.490,1.7,1.8,.939,0.3,2.6,2.9,4.9,0.5,0.1,1.7,0.7,12.2
28,Harrison Barnes\barneha02,PF,24,DAL,59,59,35.8,8.1,17.1,.476,1.0,2.9,.339,7.1,14.1,.504,.505,2.9,3.4,.845,1.3,3.9,5.2,1.5,0.9,0.2,1.3,1.6,20.1
29,Matt Barnes\barnema02,SF,36,SAC,54,13,25.3,2.7,7.1,.384,1.3,3.9,.327,1.4,3.2,.453,.474,0.9,1.2,.758,1.0,4.5,5.5,2.8,0.7,0.3,1.5,2.6,7.6
30,Will Barton\bartowi01,SG,26,DEN,45,19,29.1,4.9,11.0,.444,1.4,3.6,.378,3.5,7.4,.477,.507,2.5,3.3,.753,1.1,3.5,4.6,3.4,0.8,0.5,1.7,1.8,13.7
31,Brandon Bass\bassbr01,PF,31,LAC,39,0,11.8,2.2,3.7,.590,0.0,0.1,.500,2.2,3.6,.592,.594,1.3,1.5,.881,0.8,1.7,2.4,0.5,0.3,0.2,0.6,0.9,5.7
32,Nicolas Batum\batumni01,SG,28,CHO,56,56,34.9,5.1,12.5,.404,1.9,5.2,.362,3.2,7.3,.434,.479,3.3,3.9,.858,0.7,6.3,7.0,5.9,1.1,0.4,2.7,1.6,15.3
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,3.0,9.0,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
34,Aron Baynes\baynear01,C,30,DET,56,2,15.2,1.7,3.4,.484,0.0,0.0,,1.7,3.4,.484,.484,1.1,1.3,.861,1.2,2.7,3.9,0.4,0.3,0.4,0.7,2.2,4.4
35,Kent Bazemore\bazemke01,SF,27,ATL,57,54,27.3,4.1,10.1,.402,1.2,3.6,.338,2.8,6.5,.438,.463,1.5,2.2,.715,0.6,2.6,3.2,2.5,1.3,0.7,1.8,2.2,10.9
36,Bradley Beal\bealbr01,SG,23,WAS,53,53,34.6,8.0,16.8,.478,2.9,7.2,.399,5.1,9.5,.538,.564,3.6,4.5,.808,0.6,2.3,2.9,3.6,1.0,0.2,2.0,2.2,22.6
37,Malik Beasley\beaslma01,SG,20,DEN,18,0,4.9,1.0,2.4,.419,0.3,0.9,.353,0.7,1.4,.462,.488,0.3,0.4,.750,0.1,0.3,0.4,0.3,0.2,0.0,0.2,0.3,2.7
38,Michael Beasley\beaslmi01,PF,28,MIL,50,5,17.1,4.0,7.3,.544,0.3,0.8,.421,3.6,6.5,.558,.566,1.4,2.0,.727,0.7,2.9,3.6,1.0,0.5,0.5,1.3,1.7,9.7
39,Marco Belinelli\belinma01,SG,30,CHO,54,0,24.5,3.7,8.5,.435,1.5,4.0,.372,2.2,4.5,.490,.522,1.8,2.0,.888,0.2,2.4,2.6,1.9,0.6,0.1,1.0,1.3,10.6
40,DeAndre' Bembry\bembrde01,SF,22,ATL,29,0,9.9,1.3,2.7,.487,0.0,0.4,.000,1.3,2.3,.576,.487,0.2,0.5,.429,0.3,1.1,1.4,0.7,0.2,0.1,0.3,0.6,2.8
41,Dragan Bender\bendedr01,PF,19,PHO,38,0,12.7,1.2,3.3,.371,0.7,2.1,.321,0.5,1.1,.465,.476,0.1,0.2,.375,0.4,1.7,2.2,0.4,0.2,0.5,0.7,1.6,3.2
42,Anthony Bennett\bennean01,PF,23,BRK,23,1,11.5,1.7,4.0,.413,0.6,2.1,.271,1.1,1.9,.568,.484,1.1,1.6,.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0
43,Davis Bertans\bertada01,PF,24,SAS,49,3,11.5,1.4,3.2,.442,0.9,2.3,.395,0.5,0.9,.571,.587,0.5,0.6,.800,0.3,1.1,1.4,0.7,0.3,0.4,0.4,1.1,4.2
44,Patrick Beverley\beverpa01,SG,28,HOU,47,47,30.4,3.5,8.1,.429,1.6,4.3,.380,1.9,3.9,.484,.529,0.8,1.0,.813,1.3,4.4,5.7,4.5,1.6,0.4,1.5,3.3,9.4
45,Bismack Biyombo\biyombi01,C,24,ORL,59,23,23.1,2.2,4.2,.530,0.0,0.0,,2.2,4.2,.530,.530,1.5,3.0,.500,1.9,5.2,7.2,1.0,0.3,1.3,1.3,2.4,6.0
46,Nemanja Bjelica\bjeline01,PF,28,MIN,58,1,17.4,2.2,5.2,.421,0.9,2.7,.314,1.3,2.5,.538,.503,0.6,0.9,.740,0.7,2.6,3.4,1.1,0.6,0.3,0.9,2.3,5.9
47,Tarik Black\blackta01,C,25,LAL,48,11,16.2,2.2,4.4,.510,0.0,0.0,.500,2.2,4.3,.510,.512,1.3,1.8,.724,2.3,3.1,5.3,0.7,0.4,0.5,0.9,2.8,5.8
48,Eric Bledsoe\bledser01,PG,27,PHO,58,58,33.4,6.9,15.7,.440,1.6,4.7,.328,5.4,11.0,.488,.490,5.9,6.9,.851,0.9,4.1,5.0,6.4,1.4,0.4,3.3,2.6,21.3
49,Bojan Bogdanovic\bogdabo02,SF,27,TOT,57,54,26.9,4.8,11.0,.439,1.8,5.0,.357,3.0,6.0,.509,.521,2.6,3.0,.876,0.4,3.1,3.5,1.6,0.5,0.1,1.7,1.8,14.0
49,Bojan Bogdanovic\bogdabo02,SF,27,BRK,55,54,26.9,4.9,11.1,.440,1.8,5.0,.357,3.1,6.1,.509,.521,2.7,3.0,.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2
49,Bojan Bogdanovic\bogdabo02,SF,27,WAS,2,0,25.5,3.0,7.5,.400,1.5,4.5,.333,1.5,3.0,.500,.500,1.0,1.0,1.000,0.0,2.5,2.5,1.0,1.0,1.0,1.5,2.0,8.5
50,Andrew Bogut\bogutan01,C,32,DAL,26,21,22.4,1.5,3.1,.469,0.0,0.0,.000,1.5,3.1,.475,.469,0.1,0.4,.273,2.1,6.2,8.3,1.9,0.5,1.0,1.7,3.2,3.0
51,Joel Bolomboy\bolomjo01,PF,23,UTA,9,0,2.2,0.3,0.6,.600,0.0,0.1,.000,0.3,0.4,.750,.600,0.2,0.4,.500,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0.9
52,Devin Booker\bookede01,SG,20,PHO,58,58,34.6,7.5,17.7,.426,1.9,5.1,.372,5.7,12.6,.448,.480,4.2,5.1,.821,0.6,2.2,2.8,3.2,0.9,0.3,2.9,3.2,21.1
53,Trevor Booker\booketr01,PF,29,BRK,53,43,26.1,4.4,8.4,.530,0.3,1.1,.263,4.2,7.3,.570,.547,1.2,1.8,.663,2.1,6.5,8.6,2.2,1.2,0.4,1.8,2.2,10.3
54,Avery Bradley\bradlav01,SG,26,BOS,37,37,34.4,7.0,14.7,.475,2.1,5.1,.413,4.9,9.6,.508,.547,1.3,1.7,.762,1.1,5.6,6.7,2.3,1.4,0.2,1.8,2.7,17.4
55,Corey Brewer\breweco01,SF,30,TOT,60,8,15.7,1.6,3.9,.414,0.4,1.6,.242,1.2,2.3,.533,.463,0.6,0.8,.739,0.4,1.6,1.9,1.0,0.7,0.2,0.6,1.8,4.2
55,Corey Brewer\breweco01,SF,30,HOU,58,8,15.9,1.6,3.9,.414,0.4,1.6,.234,1.2,2.3,.541,.463,0.6,0.8,.727,0.4,1.6,2.0,1.1,0.7,0.2,0.6,1.8,4.2
55,Corey Brewer\breweco01,SF,30,LAL,2,0,8.5,1.0,2.5,.400,0.5,0.5,1.000,0.5,2.0,.250,.500,1.0,1.0,1.000,0.5,0.5,1.0,0.5,0.5,0.0,0.0,1.5,3.5
56,Malcolm Brogdon\brogdma01,SG,24,MIL,58,12,25.6,3.6,8.1,.444,1.0,2.4,.417,2.6,5.7,.456,.506,1.5,1.8,.843,0.6,2.1,2.6,4.2,1.2,0.1,1.6,1.9,9.7
57,Aaron Brooks\brookaa01,PG,32,IND,48,0,13.8,1.9,4.8,.404,0.7,2.1,.333,1.2,2.6,.460,.478,0.5,0.6,.793,0.3,0.8,1.1,2.1,0.5,0.2,1.0,1.4,5.0
58,Anthony Brown\brownan02,SF,24,TOT,11,0,14.5,1.6,4.5,.360,0.6,2.5,.259,1.0,2.1,.478,.430,0.0,0.0,,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9
58,Anthony Brown\brownan02,SF,24,NOP,9,0,15.9,1.6,4.6,.341,0.7,2.7,.250,0.9,1.9,.471,.415,0.0,0.0,,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
58,Anthony Brown\brownan02,SF,24,ORL,2,0,8.0,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.0,0.0,,1.0,2.5,3.5,1.0,0.0,0.0,0.5,1.0,4.5
59,Bobby Brown\brownbo02,PG,32,HOU,18,0,3.0,0.4,1.7,.267,0.2,0.8,.267,0.2,0.8,.267,.333,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.1,1.1
60,Jaylen Brown\brownja02,SF,20,BOS,56,15,16.1,2.2,5.0,.443,0.5,1.4,.342,1.8,3.6,.483,.491,1.2,1.7,.699,0.6,2.1,2.6,0.7,0.5,0.3,0.8,1.7,6.1
61,Nicolas Brussino\brussni01,SF,23,DAL,37,0,6.9,0.6,1.6,.377,0.3,1.1,.286,0.3,0.5,.579,.475,0.2,0.2,.667,0.3,0.9,1.2,0.7,0.3,0.1,0.3,0.6,1.7
62,Reggie Bullock\bullore01,SF,25,DET,15,3,14.9,1.9,4.4,.439,0.7,2.1,.313,1.3,2.3,.559,.515,0.1,0.3,.500,0.4,1.6,2.0,0.8,0.4,0.2,0.4,1.0,4.7
