Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
102,Malcolm Delaney\delanma01,PG,27,ATL,59,2,17.8,2.2,5.7,.384,0.4,1.6,.250,1.8,4.1,.434,.418,1.1,1.3,.805,0.2,1.6,1.8,2.8,0.6,0.0,1.4,1.6,5.8
103,Matthew Dellavedova\dellama01,PG,26,MIL,53,46,26.6,2.6,6.9,.379,0.9,2.8,.336,1.7,4.2,.407,.446,1.1,1.4,.806,0.3,1.7,2.0,5.2,0.8,0.0,1.8,2.0,7.3
104,Luol Deng\denglu01,SF,31,LAL,56,49,26.5,2.9,7.6,.386,0.9,2.9,.311,2.0,4.7,.433,.446,0.8,1.1,.730,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
105,DeMar DeRozan\derozde01,SG,27,TOR,53,53,35.6,10.0,21.3,.468,0.4,1.6,.253,9.6,19.7,.485,.477,7.6,8.9,.850,1.0,4.4,5.4,3.7,1.1,0.2,2.4,1.9,27.9
106,Cheick Diallo\diallch01,PF,20,NOP,9,0,10.4,1.9,4.3,.436,0.0,0.0,,1.9,4.3,.436,.436,0.8,1.1,.700,1.3,2.2,3.6,0.3,0.3,0.3,0.2,1.0,4.6
107,Boris Diaw\diawbo01,PF,34,UTA,50,21,17.9,2.0,4.4,.448,0.3,1.2,.259,1.7,3.3,.515,.482,0.4,0.5,.800,0.5,1.4,1.9,2.2,0.3,0.0,1.3,1.2,4.7
108,Gorgui Dieng\dienggo01,PF,27,MIN,60,60,31.9,4.2,8.3,.507,0.2,0.5,.355,4.0,7.8,.517,.518,1.5,1.9,.779,2.3,5.7,7.9,1.8,1.1,1.0,1.3,3.2,10.1
109,Spencer Dinwiddie\dinwisp01,PG,23,BRK,35,16,21.6,2.3,5.2,.448,0.6,1.5,.423,1.7,3.7,.457,.508,1.9,2.3,.823,0.3,2.4,2.7,3.0,0.6,0.3,1.1,2.1,7.1
110,Toney Douglas\douglto01,PG,30,MEM,16,0,17.4,1.9,5.3,.369,0.4,2.1,.182,1.6,3.2,.490,.405,1.1,1.3,.850,0.4,2.4,2.8,2.4,0.8,0.3,0.9,1.9,5.3
111,Goran Dragic\dragigo01,PG,30,MIA,52,52,34.1,7.4,15.2,.485,1.6,3.9,.423,5.8,11.4,.506,.539,3.9,5.0,.788,0.8,3.1,3.9,6.1,1.1,0.2,3.1,2.8,20.3
112,Andre Drummond\drumman01,C,23,DET,58,58,30.5,6.4,12.0,.530,0.0,0.1,.333,6.3,11.9,.532,.532,1.9,4.4,.424,4.1,9.8,13.8,1.0,1.7,1.2,2.1,2.9,14.6
113,Jared Dudley\dudleja01,PF,31,PHO,42,7,20.8,2.5,5.2,.479,1.3,3.0,.432,1.2,2.2,.543,.604,0.6,1.0,.634,0.5,2.7,3.2,1.6,0.6,0.2,1.1,2.4,6.9
114,Mike Dunleavy\dunlemi02,SF,36,TOT,42,2,16.0,1.8,4.1,.431,1.0,2.6,.394,0.8,1.5,.492,.555,0.6,0.8,.765,0.3,1.9,2.2,0.9,0.3,0.1,0.6,1.3,5.2
114,Mike Dunleavy\dunlemi02,SF,36,CLE,23,2,15.9,1.6,3.9,.400,0.9,2.5,.351,0.7,1.4,.485,.511,0.6,0.8,.737,0.2,1.8,2.0,0.9,0.3,0.1,0.6,1.4,4.6
114,Mike Dunleavy\dunlemi02,SF,36,ATL,19,0,16.2,2.1,4.4,.464,1.2,2.7,.442,0.8,1.7,.500,.601,0.6,0.8,.800,0.4,2.1,2.4,0.9,0.3,0.1,0.6,1.2,5.9
115,Kris Dunn\dunnkr01,PG,22,MIN,56,6,16.6,1.4,3.8,.374,0.3,0.9,.280,1.2,2.9,.402,.407,0.5,0.9,.588,0.3,1.8,2.2,2.5,0.9,0.4,1.3,2.1,3.6
116,Kevin Durant\duranke01,SF,28,GSW,58,58,34.1,9.1,16.9,.538,1.9,5.1,.378,7.2,11.8,.606,.595,5.6,6.4,.876,0.7,7.7,8.4,4.9,1.1,1.7,2.3,1.9,25.8
117,Henry Ellenson\ellenhe01,PF,20,DET,14,0,4.0,0.6,1.6,.348,0.3,1.0,.286,0.3,0.6,.444,.435,0.1,0.1,1.000,0.1,0.7,0.9,0.3,0.0,0.0,0.4,0.2,1.5
118,Wayne Ellington\ellinwa01,SG,29,MIA,40,13,25.8,3.8,9.5,.405,2.2,6.3,.355,1.6,3.2,.504,.522,0.8,0.9,.865,0.3,1.8,2.1,1.3,0.7,0.1,0.6,1.3,10.7
119,Monta Ellis\ellismo01,SG,31,IND,52,23,27.2,3.2,7.2,.449,0.5,1.6,.306,2.7,5.6,.491,.484,1.5,1.8,.792,0.2,2.7,2.8,3.5,0.9,0.3,1.9,2.1,8.4
120,Joel Embiid\embiijo01,C,22,PHI,31,31,25.4,6.5,13.8,.466,1.2,3.2,.367,5.3,10.7,.495,.508,6.2,7.9,.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
121,James Ennis\ennisja01,SF,26,MEM,45,22,25.1,2.6,5.4,.473,1.0,2.3,.413,1.6,3.1,.518,.562,1.5,1.9,.786,1.3,2.9,4.2,1.0,0.8,0.3,1.1,2.8,7.5
122,Tyler Ennis\ennisty01,PG,22,TOT,32,0,6.4,0.8,2.1,.403,0.2,0.6,.389,0.6,1.5,.408,.455,0.1,0.1,.667,0.2,0.5,0.6,1.1,0.2,0.0,0.8,0.9,2.0
122,Tyler Ennis\ennisty01,PG,22,HOU,31,0,6.3,0.8,2.1,.391,0.2,0.5,.375,0.6,1.5,.396,.438,0.1,0.1,.667,0.1,0.5,0.6,1.1,0.2,0.0,0.8,0.9,1.9
122,Tyler Ennis\ennisty01,PG,22,LAL,1,0,8.0,2.0,3.0,.667,1.0,2.0,.500,1.0,1.0,1.000,.833,0.0,0.0,,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0
123,Tyreke Evans\evansty01,SG,27,TOT,29,1,18.9,3.6,8.9,.405,0.9,2.7,.321,2.7,6.2,.441,.453,1.9,2.4,.783,0.2,3.2,3.4,3.5,0.9,0.2,1.6,1.7,9.9
123,Tyreke Evans\evansty01,SG,27,NOP,26,0,18.2,3.5,8.7,.401,0.8,2.7,.300,2.7,6.0,.446,.447,1.7,2.2,.776,0.2,3.1,3.3,3.5,0.9,0.2,1.5,1.6,9.5
123,Tyreke Evans\evansty01,SG,27,SAC,3,1,24.3,4.3,10.0,.433,1.3,2.7,.500,3.0,7.3,.409,.500,3.0,3.7,.818,0.0,4.7,4.7,3.3,0.7,1.0,2.3,2.3,13.0
124,Dante Exum\exumda01,PG,21,UTA,44,17,18.3,2.4,5.4,.435,0.6,2.3,.270,1.8,3.2,.554,.492,0.8,1.0,.857,0.4,1.5,1.9,1.7,0.3,0.2,1.1,2.3,6.2
125,Kenneth Faried\farieke01,PF,27,DEN,49,29,22.0,3.7,6.5,.559,0.0,0.1,.000,3.7,6.4,.568,.559,2.4,3.5,.690,3.1,4.7,7.8,0.9,0.7,0.7,1.0,2.1,9.7
126,Jordan Farmar\farmajo01,PG,30,SAC,2,0,17.5,2.0,6.0,.333,2.0,4.5,.444,0.0,1.5,.000,.500,0.0,0.0,,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0
127,Derrick Favors\favorde01,PF,25,UTA,42,34,23.5,4.0,8.3,.478,0.0,0.2,.250,3.9,8.1,.484,.481,1.5,2.3,.639,1.8,4.4,6.1,1.0,0.9,0.9,1.2,2.1,9.4
128,Kay Felder\feldeka01,PG,21,CLE,37,0,9.5,1.5,3.7,.394,0.2,0.5,.350,1.3,3.2,.402,.420,0.9,1.2,.711,0.1,0.9,1.0,1.3,0.4,0.2,0.7,1.0,4.0
129,Cristiano Felicio\feliccr01,C,24,CHI,50,0,15.9,1.9,3.4,.556,0.0,0.0,,1.9,3.4,.556,.556,1.1,1.6,.659,2.1,2.8,4.9,0.6,0.4,0.2,0.5,1.8,4.9
130,Raymond Felton\feltora01,PG,32,LAC,57,11,22.5,3.1,7.1,.437,0.8,2.1,.370,2.3,5.0,.465,.491,0.6,0.8,.800,0.5,2.4,2.9,2.6,0.9,0.3,1.1,1.8,7.6
131,Yogi Ferrell\ferreyo01,PG,23,TOT,23,10,24.8,3.2,8.0,.400,1.4,3.8,.375,1.8,4.2,.423,.489,1.4,1.8,.786,0.5,1.9,2.4,3.5,0.9,0.2,1.6,1.8,9.3
131,Yogi Ferrell\ferreyo01,PG,23,BRK,10,0,15.1,1.8,4.9,.367,0.8,2.7,.296,1.0,2.2,.455,.449,1.0,1.6,.625,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,5.4
131,Yogi Ferrell\ferreyo01,PG,23,DAL,13,10,32.2,4.3,10.5,.412,1.9,4.7,.410,2.4,5.8,.413,.504,1.8,2.0,.885,0.6,2.7,3.3,4.8,1.4,0.2,1.8,2.3,12.3
132,Dorian Finney-Smith\finnedo01,PF,23,DAL,58,29,20.6,1.6,3.9,.404,0.7,2.3,.318,0.8,1.6,.527,.498,0.6,0.8,.766,0.6,2.0,2.6,0.8,0.6,0.3,0.6,1.7,4.5
133,Bryn Forbes\forbebr01,SG,23,SAS,20,0,4.8,0.5,1.4,.357,0.2,0.7,.286,0.3,0.7,.429,.429,0.1,0.1,1.000,0.1,0.4,0.4,0.2,0.1,0.0,0.0,0.5,1.3
134,Evan Fournier\fournev01,SG,24,ORL,47,45,33.2,5.9,13.6,.431,1.6,4.8,.336,4.3,8.8,.482,.490,3.3,4.0,.814,0.7,2.6,3.3,3.3,1.0,0.1,2.3,2.8,16.6
135,Randy Foye\foyera01,SG,33,BRK,45,16,18.9,1.8,5.0,.366,1.0,3.0,.331,0.8,2.0,.420,.467,0.7,0.8,.811,0.2,2.2,2.4,2.1,0.4,0.2,1.4,1.5,5.3
136,Tim Frazier\fraziti01,PG,26,NOP,44,23,24.5,2.9,7.0,.417,0.7,2.0,.330,2.3,5.0,.452,.464,1.8,2.3,.782,0.5,2.3,2.8,5.5,0.8,0.1,1.8,2.2,8.3
137,Channing Frye\fryech01,C,33,CLE,51,7,18.9,3.2,7.5,.428,1.9,4.8,.402,1.3,2.7,.474,.556,0.9,1.1,.855,0.6,3.2,3.8,0.7,0.4,0.5,0.7,1.9,9.2
138,Danilo Gallinari\gallida01,SF,28,DEN,47,47,33.9,5.1,11.7,.437,1.8,4.8,.376,3.3,6.9,.480,.515,5.4,6.0,.887,0.6,4.4,5.0,2.2,0.7,0.2,1.4,1.5,17.4
139,Langston Galloway\gallola01,PG,25,TOT,57,0,19.9,2.9,7.8,.372,1.8,4.7,.374,1.1,3.1,.368,.485,0.7,0.9,.769,0.4,1.8,2.1,1.2,0.7,0.1,0.5,1.3,8.3
139,Langston Galloway\gallola01,PG,25,NOP,55,0,20.4,3.0,8.0,.374,1.8,4.9,.377,1.2,3.1,.370,.489,0.7,0.9,.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6
139,Langston Galloway\gallola01,PG,25,SAC,2,0,7.5,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0
140,Marc Gasol\gasolma01,C,32,MEM,57,57,34.4,7.5,16.1,.465,1.4,3.7,.383,6.1,12.4,.489,.509,4.1,4.9,.848,0.8,5.3,6.2,4.4,0.9,1.4,2.2,2.4,20.5
141,Pau Gasol\gasolpa01,C,36,SAS,41,39,26.2,4.8,9.4,.513,0.6,1.2,.521,4.2,8.2,.512,.546,1.7,2.6,.660,1.5,6.4,8.0,2.6,0.4,1.1,1.2,1.7,11.9
142,Rudy Gay\gayru01,SF,30,SAC,30,30,33.8,6.7,14.7,.455,1.4,3.8,.372,5.3,11.0,.483,.502,3.9,4.6,.855,1.2,5.2,6.3,2.7,1.5,0.9,2.5,2.6,18.7
143,Michael Gbinije\gbinimi01,SG,24,DET,9,0,3.6,0.1,1.1,.100,0.0,0.4,.000,0.1,0.7,.167,.100,0.2,0.2,1.000,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0.4
144,Alonzo Gee\geeal01,SF,29,DEN,13,0,6.8,0.2,1.1,.214,0.0,0.2,.000,0.2,0.8,.273,.214,0.4,0.7,.556,0.3,0.8,1.1,0.5,0.4,0.1,0.3,1.1,0.8
145,Paul George\georgpa01,SF,26,IND,53,53,35.3,7.5,17.1,.441,2.2,5.9,.378,5.3,11.2,.474,.506,4.3,4.7,.916,0.9,5.3,6.2,3.3,1.5,0.3,2.9,2.7,21.7
146,Jonathan Gibson\gibsojo01,PG,29,DAL,17,0,13.6,2.1,5.6,.368,0.9,2.6,.333,1.2,2.9,.400,.447,1.2,1.7,.724,0.1,1.2,1.3,1.5,0.5,0.0,1.2,1.2,6.2
147,Taj Gibson\gibsota01,PF,31,TOT,57,55,27.1,5.0,9.7,.514,0.0,0.2,.167,4.9,9.5,.522,.516,1.5,2.1,.719,2.1,4.7,6.9,1.1,0.5,0.9,1.4,2.2,11.5
147,Taj Gibson\gibsota01,PF,31,CHI,55,55,27.3,5.0,9.6,.521,0.0,0.2,.167,5.0,9.4,.529,.523,1.5,2.2,.714,2.2,4.8,7.0,1.1,0.5,0.9,1.4,2.2,11.6
147,Taj Gibson\gibsota01,PF,31,OKC,2,0,21.0,4.0,11.0,.364,0.0,0.0,,4.0,11.0,.364,.364,1.0,1.0,1.000,1.0,3.5,4.5,0.5,0.5,0.0,0.5,2.0,9.0
148,Manu Ginobili\ginobma01,SG,39,SAS,51,0,18.5,2.5,6.4,.383,1.3,3.3,.405,1.1,3.1,.361,.488,1.4,1.7,.824,0.4,1.9,2.3,2.5,1.2,0.3,1.3,1.7,7.6
149,Rudy Gobert\goberru01,C,24,UTA,59,59,33.6,4.5,7.0,.640,0.0,0.0,.000,4.5,7.0,.642,.640,4.0,6.0,.668,3.9,8.9,12.8,1.1,0.7,2.5,1.9,3.0,13.0
150,Archie Goodwin\goodwar01,SG,22,NOP,3,0,10.0,0.7,1.7,.400,0.3,0.7,.500,0.3,1.0,.333,.500,3.3,3.3,1.000,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0
151,Aaron Gordon\gordoaa01,SF,21,ORL,58,50,27.6,4.3,10.0,.432,1.0,3.4,.286,3.4,6.6,.506,.480,1.6,2.5,.657,1.3,3.3,4.6,2.0,0.7,0.4,1.1,2.1,11.2
152,Eric Gordon\gordoer01,SG,28,HOU,55,8,30.4,5.8,14.1,.413,3.5,9.2,.381,2.3,4.9,.474,.537,1.9,2.3,.833,0.3,2.3,2.6,2.7,0.6,0.5,1.7,2.0,17.1
153,Marcin Gortat\gortama01,C,32,WAS,57,57,34.4,5.2,8.9,.587,0.0,0.0,.000,5.2,8.9,.588,.587,1.4,2.1,.678,3.2,8.1,11.3,1.6,0.6,1.0,1.5,3.0,11.8
154,Treveon Graham\grahatr01,SG,23,CHO,19,1,5.9,0.4,0.9,.389,0.3,0.4,.625,0.1,0.5,.200,.528,0.4,0.5,.700,0.1,0.7,0.8,0.3,0.1,0.0,0.1,0.7,1.4
155,Jerami Grant\grantje01,SF,22,TOT,58,4,21.2,2.1,4.6,.470,0.6,1.5,.376,1.6,3.1,.514,.530,1.3,2.1,.626,0.4,2.3,2.8,0.6,0.5,1.1,0.6,2.0,6.2
155,Jerami Grant\grantje01,SF,22,PHI,2,0,20.5,3.0,8.5,.353,0.0,1.0,.000,3.0,7.5,.400,.353,2.0,4.0,.500,0.0,3.5,3.5,0.0,0.0,2.0,1.5,2.5,8.0
155,Jerami Grant\grantje01,SF,22,OKC,56,4,21.2,2.1,4.4,.478,0.6,1.5,.386,1.5,2.9,.524,.543,1.3,2.1,.635,0.5,2.3,2.8,0.6,0.5,1.1,0.5,2.0,6.1
156,Jerian Grant\grantje02,PG,24,CHI,48,18,16.4,1.9,4.7,.410,0.7,2.0,.361,1.2,2.7,.446,.487,1.2,1.3,.875,0.3,1.4,1.6,1.6,0.7,0.1,0.8,1.6,5.8
157,Danny Green\greenda02,SG,29,SAS,50,50,26.6,2.7,6.5,.415,1.9,4.6,.407,0.8,1.9,.436,.560,0.3,0.4,.833,0.4,2.9,3.2,1.8,1.1,0.8,1.0,1.8,7.6
158,Draymond Green\greendr01,PF,26,GSW,56,56,32.6,3.6,8.3,.428,1.1,3.4,.321,2.5,4.9,.502,.494,1.9,2.8,.675,1.3,6.8,8.1,7.2,2.1,1.4,2.4,3.0,10.1
159,Gerald Green\greenge01,SG,31,BOS,36,0,11.4,2.0,5.0,.403,0.8,2.3,.366,1.2,2.8,.434,.486,0.6,0.7,.808,0.4,1.4,1.8,0.8,0.2,0.1,0.4,1.1,5.5
160,JaMychal Green\greenja01,PF,26,MEM,58,58,28.6,3.2,6.6,.483,0.7,1.9,.369,2.5,4.7,.529,.536,1.9,2.4,.803,2.2,5.1,7.4,1.2,0.7,0.5,1.3,3.5,9.0
161,Jeff Green\greenje02,SF,30,ORL,58,11,23.1,3.2,8.2,.386,0.8,2.9,.278,2.3,5.3,.446,.436,2.3,2.6,.862,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.4,9.4
162,Blake Griffin\griffbl01,PF,27,LAC,39,39,33.7,8.2,16.8,.489,0.4,1.1,.341,7.8,15.7,.500,.501,5.5,7.3,.754,2.1,6.6,8.7,5.1,1.1,0.5,2.3,2.6,22.3
163,Justin Hamilton\hamilju01,C,26,BRK,50,6,19.5,2.7,6.1,.446,0.9,3.0,.303,1.8,3.0,.589,.521,0.5,0.7,.706,1.2,3.2,4.5,0.9,0.5,0.8,0.7,1.5,6.8
164,A.J. Hammons\hammoaj01,C,24,DAL,17,0,4.5,0.5,1.3,.409,0.2,0.4,.667,0.3,0.9,.313,.500,0.1,0.6,.200,0.3,0.9,1.2,0.1,0.0,0.4,0.2,0.6,1.4
165,Tim Hardaway\hardati02,SG,24,ATL,57,17,25.2,4.8,10.8,.442,1.8,5.2,.350,3.0,5.7,.526,.526,1.6,2.3,.721,0.3,2.2,2.5,2.1,0.6,0.2,1.2,1.2,13.0
166,James Harden\hardeja01,PG,27,HOU,61,61,36.5,8.1,18.7,.437,3.2,9.1,.349,5.0,9.6,.520,.522,9.3,11.0,.851,1.1,7.0,8.1,11.3,1.5,0.5,5.8,2.6,28.8
167,Maurice Harkless\harklma01,SF,23,POR,54,47,29.2,4.3,8.9,.484,1.1,3.0,.356,3.3,5.9,.550,.545,1.0,1.5,.663,1.6,3.1,4.7,1.0,1.2,0.9,1.2,2.8,10.7
168,Montrezl Harrell\harremo01,PF,23,HOU,49,14,18.4,3.9,6.0,.647,0.0,0.1,.333,3.9,6.0,.651,.649,1.3,2.0,.636,1.5,2.2,3.7,1.2,0.4,0.7,0.8,2.0,9.1
169,Devin Harris\harride01,PG,33,DAL,42,0,16.8,1.9,5.1,.366,0.9,2.6,.330,1.0,2.5,.404,.451,1.6,1.9,.835,0.2,1.8,2.0,1.8,0.6,0.1,0.8,1.5,6.1
170,Gary Harris\harriga01,SG,22,DEN,35,34,28.9,5.3,11.0,.482,1.9,4.3,.430,3.5,6.7,.515,.566,1.7,2.3,.750,0.9,2.3,3.1,2.5,1.2,0.2,1.3,1.6,14.2
171,Joe Harris\harrijo01,SG,25,BRK,50,11,22.1,3.0,7.0,.429,1.7,4.3,.390,1.4,2.8,.489,.547,0.7,1.0,.714,0.3,2.6,2.9,1.1,0.6,0.2,1.1,2.3,8.4
172,Tobias Harris\harrito02,PF,24,DET,59,38,31.7,6.3,13.0,.485,1.3,3.9,.341,5.0,9.2,.546,.536,2.3,2.6,.878,0.6,4.5,5.1,1.6,0.7,0.5,1.3,1.6,16.3
173,Aaron Harrison\harriaa01,SG,22,CHO,5,0,3.4,0.0,0.8,.000,0.0,0.4,.000,0.0,0.4,.000,.000,0.2,0.4,.500,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.4,0.2
174,Andrew Harrison\harrian01,SG,22,MEM,54,15,21.6,1.7,5.2,.318,0.6,2.3,.266,1.1,2.9,.358,.376,2.2,2.9,.769,0.4,1.5,1.9,2.9,0.8,0.3,1.2,2.9,6.2
175,Udonis Haslem\hasleud01,C,36,MIA,16,0,8.1,0.7,1.4,.500,0.0,0.1,.000,0.7,1.3,.550,.500,0.6,0.9,.600,0.5,1.7,2.2,0.4,0.3,0.1,0.5,1.3,1.9
176,Spencer Hawes\hawessp01,PF,28,CHO,35,1,17.9,3.0,6.2,.477,0.5,1.6,.291,2.5,4.7,.540,.514,0.9,1.0,.882,0.9,3.3,4.2,1.8,0.4,0.7,1.1,1.7,7.3
177,Gordon Hayward\haywago01,SF,26,UTA,52,52,34.7,7.4,15.7,.470,2.0,5.1,.390,5.4,10.6,.509,.534,5.8,6.7,.862,0.7,5.0,5.6,3.5,0.9,0.3,1.9,1.7,22.5
178,Gerald Henderson\hendege02,SG,29,PHI,54,38,24.3,3.5,8.0,.442,0.9,2.3,.373,2.7,5.7,.471,.497,2.1,2.4,.848,0.4,2.2,2.6,1.7,0.6,0.2,0.9,1.7,10.0
179,John Henson\hensojo01,C,26,MIL,48,38,20.1,2.8,5.4,.512,0.0,0.0,.000,2.8,5.4,.514,.512,1.5,2.1,.707,1.4,3.7,5.1,1.1,0.5,1.3,1.0,2.7,7.0
180,Juan Hernangomez\hernaju01,PF,21,DEN,42,4,12.4,1.5,3.2,.455,0.6,1.5,.429,0.8,1.7,.479,.556,0.8,1.1,.702,0.8,2.1,2.9,0.5,0.5,0.3,0.4,1.0,4.3
181,Willy Hernangomez\hernawi01,C,22,NYK,52,6,16.4,2.8,5.2,.545,0.1,0.2,.250,2.8,4.9,.559,.550,1.1,1.5,.740,2.0,4.1,6.1,1.1,0.4,0.6,1.2,1.8,6.8
182,Mario Hezonja\hezonma01,SF,21,ORL,43,2,12.0,1.6,4.3,.370,0.6,1.9,.325,1.0,2.3,.406,.443,0.3,0.4,.765,0.2,1.5,1.8,0.8,0.4,0.2,0.9,1.0,4.1
183,Roy Hibbert\hibbero01,C,30,CHO,42,13,16.0,1.9,3.4,.542,0.0,0.0,,1.9,3.4,.542,.542,1.5,1.8,.813,1.3,2.4,3.6,0.5,0.2,1.0,0.7,2.3,5.2
184,Buddy Hield\hieldbu01,SG,23,TOT,60,37,20.7,3.3,8.3,.398,1.6,4.2,.366,1.8,4.1,.431,.491,0.6,0.7,.878,0.3,2.6,3.0,1.3,0.3,0.1,0.9,1.4,8.8
184,Buddy Hield\hieldbu01,SG,23,NOP,57,37,20.4,3.2,8.3,.392,1.6,4.2,.369,1.7,4.1,.416,.486,0.5,0.6,.879,0.3,2.6,2.9,1.4,0.3,0.1,0.8,1.4,8.6
184,Buddy Hield\hieldbu01,SG,23,SAC,3,0,26.3,4.7,9.3,.500,1.3,4.3,.308,3.3,5.0,.667,.571,2.3,2.7,.875,0.0,4.0,4.0,1.0,0.7,0.0,2.7,0.7,13.0
185,Nene Hilario\hilarne01,C,34,HOU,51,7,17.2,3.2,5.3,.611,0.1,0.1,.429,3.2,5.2,.616,.617,1.8,3.0,.591,1.3,2.6,3.9,0.9,0.8,0.7,1.1,2.5,8.3
186,George Hill\hillge01,PG,30,UTA,34,34,31.8,6.1,12.7,.479,2.1,5.1,.413,4.0,7.6,.523,.561,3.4,4.3,.795,0.5,2.9,3.4,4.0,1.1,0.3,1.6,2.5,17.7
187,Jordan Hill\hilljo01,C,29,MIN,5,0,8.0,0.8,2.2,.364,0.0,0.0,,0.8,2.2,.364,.364,0.4,0.4,1.000,1.4,1.2,2.6,0.0,0.2,0.0,0.6,1.8,2.0
188,Solomon Hill\hillso01,SF,25,NOP,58,49,28.6,2.1,5.5,.391,1.1,3.1,.348,1.1,2.3,.449,.491,1.2,1.5,.816,0.5,3.2,3.7,1.7,0.9,0.4,1.0,2.3,6.6
189,Darrun Hilliard\hillida01,SG,23,DET,27,1,10.7,1.1,3.6,.323,0.3,1.3,.250,0.8,2.2,.367,.370,0.6,0.9,.708,0.1,0.9,1.0,0.9,0.3,0.0,0.7,1.1,3.3
190,Jrue Holiday\holidjr01,PG,26,NOP,45,39,32.6,6.2,13.5,.457,1.5,4.0,.374,4.6,9.4,.493,.513,2.1,2.9,.705,0.8,3.3,4.1,7.4,1.6,0.6,3.2,2.4,15.9
191,Justin Holiday\holidju01,SG,27,NYK,60,2,19.5,2.6,6.3,.415,1.2,3.4,.358,1.4,3.0,.480,.511,1.0,1.2,.814,0.4,2.5,2.9,1.1,0.8,0.4,0.8,1.5,7.4
192,Rondae Hollis-Jefferson\holliro01,SF,22,BRK,54,26,21.9,2.7,6.4,.429,0.2,0.9,.216,2.5,5.4,.466,.445,2.4,3.2,.759,0.9,4.3,5.3,2.1,1.0,0.5,1.6,2.3,8.1
193,Richaun Holmes\holmeri01,C,23,PHI,34,2,16.6,2.9,5.4,.536,0.3,0.8,.370,2.6,4.6,.564,.563,1.0,1.6,.630,1.6,2.8,4.4,0.8,0.6,1.0,0.8,2.0,7.1
194,Rodney Hood\hoodro01,SG,24,UTA,42,42,28.4,4.9,11.9,.413,2.0,5.5,.365,2.9,6.3,.455,.498,1.5,2.0,.768,0.3,3.3,3.5,1.8,0.6,0.2,1.2,2.3,13.3
195,Al Horford\horfoal01,C,30,BOS,48,48,32.8,5.6,12.4,.450,1.4,4.2,.338,4.1,8.2,.508,.508,1.5,1.9,.811,1.3,5.3,6.6,4.9,0.7,1.5,1.7,2.3,14.1
196,Danuel House\houseda01,SG,23,WAS,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Dwight Howard\howardw01,C,31,ATL,54,54,29.3,5.2,8.2,.637,0.0,0.0,.000,5.2,8.1,.640,.637,3.0,5.5,.540,4.2,8.6,12.9,1.2,0.9,1.3,2.1,2.9,13.4
198,Marcelo Huertas\huertma01,PG,33,LAL,23,1,10.3,1.1,3.0,.368,0.2,0.8,.211,0.9,2.1,.429,.397,0.4,0.7,.529,0.1,1.0,1.0,2.3,0.4,0.1,0.8,0.7,2.7
199,Josh Huestis\huestjo01,PF,25,OKC,1,0,7.0,3.0,4.0,.750,1.0,2.0,.500,2.0,2.0,1.000,.875,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,7.0
200,Kris Humphries\humphkr01,PF,31,ATL,45,1,11.8,1.6,3.6,.448,0.3,0.9,.366,1.3,2.7,.475,.494,1.1,1.4,.790,1.0,2.4,3.4,0.5,0.2,0.4,0.5,1.2,4.7
201,R.J. Hunter\hunterj01,SG,23,CHI,3,0,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
202,Serge Ibaka\ibakase01,PF,27,TOT,59,59,30.8,6.2,12.6,.488,1.5,3.9,.386,4.7,8.7,.533,.547,1.4,1.6,.842,1.8,5.1,6.8,1.0,0.6,1.6,1.2,2.6,15.2
202,Serge Ibaka\ibakase01,PF,27,ORL,56,56,30.5,6.1,12.6,.488,1.5,3.8,.388,4.6,8.7,.532,.547,1.4,1.6,.846,1.8,5.0,6.8,1.1,0.6,1.6,1.2,2.5,15.1
202,Serge Ibaka\ibakase01,PF,27,TOR,3,3,35.3,6.7,13.7,.488,1.7,4.7,.357,5.0,9.0,.556,.549,1.0,1.3,.750,1.3,5.7,7.0,0.7,1.0,1.0,1.3,4.0,16.0
