Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
25,Wade Baldwin\baldwwa01,PG,20,MEM,24,309,6.9,.413,.214,.381,2.5,9.8,6.1,24.0,2.3,1.9,24.0,18.9,,-0.6,0.4,-0.2,-0.030,,-6.2,0.7,-5.5,-0.3
26,Leandro Barbosa\barbole01,SG,34,PHO,55,730,12.5,.509,.234,.088,1.6,10.7,6.0,14.7,1.5,0.8,8.4,19.3,,0.5,0.3,0.8,.053,,-1.5,-2.0,-3.5,-0.3
27,J.J. Barea\bareajo01,PG,32,DAL,18,444,17.3,.530,.385,.172,1.3,13.0,6.8,35.3,1.1,0.2,13.1,25.3,,0.5,0.3,0.8,.090,,1.4,-1.7,-0.3,0.2
28,Harrison Barnes\barneha02,PF,24,DAL,59,2114,17.4,.542,.173,.199,4.0,13.5,8.5,7.9,1.3,0.6,6.6,26.3,,2.2,1.7,3.9,.089,,-0.4,-1.2,-1.6,0.2
29,Matt Barnes\barnema02,SF,36,SAC,54,1367,10.3,.501,.551,.172,4.7,20.4,12.5,16.4,1.3,1.2,16.8,16.4,,0.0,1.1,1.1,.038,,-1.4,0.3,-1.1,0.3
30,Will Barton\bartowi01,SG,26,DEN,45,1309,15.4,.548,.331,.303,4.1,13.6,8.8,17.6,1.4,1.3,12.2,20.6,,1.9,0.5,2.5,.090,,1.3,-1.0,0.3,0.8
31,Brandon Bass\bassbr01,PF,31,LAC,39,459,18.5,.656,.014,.410,7.4,15.4,11.5,6.6,1.1,1.6,12.8,18.9,,1.2,0.4,1.6,.167,,-0.1,-0.7,-0.8,0.1
32,Nicolas Batum\batumni01,SG,28,CHO,56,1952,15.7,.539,.414,.311,2.2,19.4,10.9,26.9,1.5,1.1,15.9,21.6,,1.4,2.5,3.9,.095,,0.7,1.2,2.0,1.9
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,71,8.8,.453,.156,.313,4.6,13.9,9.3,29.8,0.0,0.0,19.8,27.8,,-0.1,0.0,-0.1,-0.064,,-5.1,-2.8,-7.9,-0.1
34,Aron Baynes\baynear01,C,30,DET,56,852,11.1,.554,.000,.375,8.6,19.9,14.2,3.3,0.9,2.2,14.2,13.6,,0.7,1.1,1.8,.103,,-3.5,1.0,-2.5,-0.1
35,Kent Bazemore\bazemke01,SF,27,ATL,57,1555,11.1,.493,.355,.214,2.4,10.4,6.4,14.2,2.3,2.3,13.9,20.5,,-0.8,2.1,1.3,.040,,-2.4,1.2,-1.2,0.3
36,Bradley Beal\bealbr01,SG,23,WAS,53,1832,19.9,.602,.431,.269,2.0,7.5,4.8,17.1,1.5,0.6,9.6,26.4,,4.7,1.3,6.1,.159,,4.5,-2.4,2.1,1.9
37,Malik Beasley\beaslma01,SG,20,DEN,18,88,13.6,.516,.395,.186,2.5,6.4,4.4,10.7,2.2,0.0,7.9,24.2,,0.1,0.0,0.1,.051,,-0.6,-4.5,-5.1,-0.1
38,Michael Beasley\beaslmi01,PF,28,MIL,50,855,17.9,.594,.104,.272,4.8,19.1,12.1,10.0,1.5,2.4,13.4,24.8,,0.8,0.8,1.7,.094,,-1.4,-1.2,-2.6,-0.1
39,Marco Belinelli\belinma01,SG,30,CHO,54,1323,13.0,.567,.467,.233,0.9,10.5,5.7,12.4,1.3,0.5,9.6,18.9,,1.3,1.2,2.4,.089,,0.0,-1.3,-1.3,0.2
40,DeAndre' Bembry\bembrde01,SF,22,ATL,29,286,9.0,.487,.154,.179,3.5,12.5,8.1,10.6,0.9,0.9,10.6,14.4,,0.0,0.3,0.3,.042,,-4.3,-0.4,-4.7,-0.2
41,Dragan Bender\bendedr01,PF,19,PHO,38,481,5.8,.474,.653,.065,3.6,15.7,9.4,4.9,0.9,3.2,17.5,13.6,,-0.4,0.3,-0.1,-0.012,,-3.8,-0.1,-3.9,-0.2
