Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
105,DeMar DeRozan\derozde01,SG,27,TOR,53,1886,24.5,.553,.074,.418,3.1,14.1,8.5,19.2,1.6,0.5,8.6,34.6,,5.0,1.5,6.4,.164,,2.3,-1.8,0.5,1.2
106,Cheick Diallo\diallch01,PF,20,NOP,9,94,16.9,.472,.000,.256,13.3,22.6,17.9,5.2,1.6,2.6,4.4,21.4,,0.1,0.1,0.2,.103,,-3.8,-0.8,-4.6,-0.1
107,Boris Diaw\diawbo01,PF,34,UTA,50,894,7.7,.502,.262,.113,3.5,8.9,6.3,18.7,0.8,0.2,22.4,15.7,,-0.4,0.9,0.5,.029,,-3.1,-0.2,-3.4,-0.3
108,Gorgui Dieng\dienggo01,PF,27,MIN,60,1913,14.0,.551,.062,.226,8.2,20.9,14.4,8.4,1.7,2.8,12.6,14.5,,2.2,1.9,4.1,.103,,-0.7,2.0,1.4,1.6
109,Spencer Dinwiddie\dinwisp01,PG,23,BRK,35,757,12.1,.577,.287,.436,1.7,11.6,6.7,20.4,1.2,1.2,15.0,14.3,,1.0,0.3,1.3,.086,,-1.4,-0.7,-2.1,0.0
110,Toney Douglas\douglto01,PG,30,MEM,16,278,11.0,.458,.393,.238,2.8,16.0,9.2,21.6,2.4,1.4,13.9,17.5,,0.0,0.4,0.4,.067,,-2.3,1.4,-0.9,0.1
111,Goran Dragic\dragigo01,PG,30,MIA,52,1774,19.6,.583,.254,.327,2.5,10.1,6.3,30.7,1.6,0.4,15.0,26.7,,3.6,1.7,5.3,.144,,3.5,-0.8,2.6,2.1
112,Andre Drummond\drumman01,C,23,DET,58,1767,21.2,.525,.009,.369,14.4,36.3,25.1,5.4,2.8,3.2,13.1,23.5,,0.9,4.0,4.9,.133,,-2.3,2.9,0.6,1.2
113,Jared Dudley\dudleja01,PF,31,PHO,42,873,11.1,.613,.576,.189,2.5,15.1,8.6,11.4,1.4,0.9,16.1,13.5,,1.0,0.4,1.4,.078,,0.2,-0.4,-0.1,0.4
114,Mike Dunleavy\dunlemi02,SF,36,TOT,42,674,9.6,.579,.626,.195,2.0,12.9,7.6,8.1,0.8,0.5,11.7,13.9,,0.6,0.5,1.1,.079,,-1.1,-1.2,-2.3,-0.1
114,Mike Dunleavy\dunlemi02,SF,36,CLE,23,366,7.6,.539,.633,.211,1.6,12.3,7.1,7.6,0.8,0.4,12.5,13.5,,0.1,0.2,0.4,.049,,-1.9,-1.3,-3.2,-0.1
114,Mike Dunleavy\dunlemi02,SF,36,ATL,19,308,12.0,.624,.619,.179,2.5,13.7,8.2,8.8,0.8,0.5,10.8,14.4,,0.4,0.3,0.7,.115,,-0.2,-1.1,-1.3,0.1
115,Kris Dunn\dunnkr01,PG,22,MIN,56,930,7.9,.431,.234,.238,2.3,13.0,7.6,20.9,2.6,2.3,23.1,14.6,,-1.0,0.9,0.0,-0.001,,-4.1,1.3,-2.9,-0.2
116,Kevin Durant\duranke01,SF,28,GSW,58,1978,27.6,.652,.301,.379,2.3,23.1,13.4,22.6,1.5,3.9,10.3,27.7,,7.8,3.7,11.5,.280,,5.6,2.5,8.1,5.0
117,Henry Ellenson\ellenhe01,PF,20,DET,14,56,6.0,.448,.609,.043,3.9,20.2,11.9,10.5,0.0,0.0,17.6,22.6,,-0.1,0.0,-0.1,-0.064,,-4.9,-2.6,-7.5,-0.1
118,Wayne Ellington\ellinwa01,SG,29,MIA,40,1031,11.7,.541,.664,.098,1.2,7.6,4.4,7.7,1.3,0.3,5.5,18.0,,1.0,0.8,1.8,.086,,1.0,-1.8,-0.8,0.3
119,Monta Ellis\ellismo01,SG,31,IND,52,1415,9.8,.526,.227,.257,0.8,10.7,5.9,18.5,1.6,1.1,19.4,16.3,,-0.3,1.0,0.8,.026,,-2.6,-0.2,-2.8,-0.3
120,Joel Embiid\embiijo01,C,22,PHI,31,786,24.2,.584,.228,.569,8.5,25.5,17.0,16.3,1.7,7.7,17.9,36.1,,0.5,1.5,2.0,.121,,0.2,3.4,3.6,1.1
121,James Ennis\ennisja01,SF,26,MEM,45,1128,11.1,.605,.428,.346,5.8,13.4,9.5,6.1,1.6,1.3,14.6,13.1,,1.3,1.3,2.7,.114,,-0.5,1.2,0.7,0.8
122,Tyler Ennis\ennisty01,PG,22,TOT,32,204,5.5,.461,.269,.045,2.7,8.2,5.4,25.3,1.7,0.0,26.0,19.3,,-0.3,0.1,-0.2,-0.035,,-5.8,-2.7,-8.5,-0.3
122,Tyler Ennis\ennisty01,PG,22,HOU,31,196,4.1,.444,.250,.047,2.3,8.5,5.4,24.5,1.5,0.0,26.9,19.4,,-0.4,0.1,-0.2,-0.058,,-6.7,-2.7,-9.4,-0.4
122,Tyler Ennis\ennisty01,PG,22,LAL,1,8,41.4,.833,.667,.000,13.0,0.0,6.8,45.1,6.1,0.0,0.0,16.0,,0.1,0.0,0.1,.508,,17.2,-1.6,15.6,0.0
123,Tyreke Evans\evansty01,SG,27,TOT,29,547,16.0,.499,.304,.268,1.1,18.5,9.8,30.8,2.2,1.1,13.8,27.1,,-0.1,0.7,0.6,.052,,-0.6,0.2,-0.4,0.2
123,Tyreke Evans\evansty01,SG,27,NOP,26,474,15.9,.491,.308,.256,1.3,17.9,9.6,32.0,2.4,0.7,13.4,27.3,,-0.1,0.6,0.5,.049,,-0.4,0.2,-0.2,0.2
123,Tyreke Evans\evansty01,SG,27,SAC,3,73,16.4,.560,.267,.367,0.0,22.2,11.1,23.1,1.4,3.8,16.7,25.9,,0.0,0.1,0.1,.073,,-2.1,0.3,-1.8,0.0
124,Dante Exum\exumda01,PG,21,UTA,44,806,8.9,.526,.418,.176,2.7,8.9,5.9,14.4,0.9,0.9,16.3,17.9,,0.1,0.9,1.0,.059,,-1.8,-0.3,-2.1,0.0
125,Kenneth Faried\farieke01,PF,27,DEN,49,1078,20.4,.602,.016,.534,15.5,24.1,19.7,5.9,1.6,2.6,11.0,17.4,,2.9,0.9,3.8,.170,,1.1,-0.1,1.1,0.8
126,Jordan Farmar\farmajo01,PG,30,SAC,2,35,14.5,.500,.750,.000,3.3,6.6,5.0,39.1,2.9,0.0,20.0,19.4,,0.0,0.0,0.1,.069,,0.6,-3.8,-3.2,0.0
127,Derrick Favors\favorde01,PF,25,UTA,42,988,15.8,.508,.023,.280,9.0,20.7,15.0,7.6,2.0,3.2,11.6,20.9,,0.3,2.0,2.3,.112,,-2.8,2.8,0.0,0.5
128,Kay Felder\feldeka01,PG,21,CLE,37,353,10.8,.469,.146,.328,1.0,10.0,5.6,20.7,2.2,1.4,14.7,22.9,,-0.2,0.4,0.1,.019,,-4.7,-1.0,-5.7,-0.3
129,Cristiano Felicio\feliccr01,C,24,CHI,50,794,15.7,.589,.000,.480,14.1,19.3,16.7,5.6,1.1,1.2,10.0,12.6,,1.8,0.8,2.6,.158,,-0.1,0.0,-0.1,0.4
130,Raymond Felton\feltora01,PG,32,LAC,57,1284,11.9,.511,.294,.111,2.6,11.7,7.2,17.4,1.9,1.2,13.1,16.9,,0.5,1.3,1.8,.068,,-1.0,0.6,-0.4,0.5
131,Yogi Ferrell\ferreyo01,PG,23,TOT,23,570,12.4,.526,.476,.227,2.3,9.0,5.5,22.4,1.8,0.6,15.4,19.4,,0.3,0.4,0.7,.058,,-0.6,-0.9,-1.5,0.1
131,Yogi Ferrell\ferreyo01,PG,23,BRK,10,151,6.6,.482,.551,.327,2.8,5.5,4.2,16.9,0.6,1.0,20.0,19.8,,-0.2,0.0,-0.2,-0.057,,-4.0,-3.4,-7.4,-0.2
131,Yogi Ferrell\ferreyo01,PG,23,DAL,13,419,14.6,.543,.449,.191,2.1,10.3,6.0,24.4,2.2,0.4,13.5,19.3,,0.5,0.4,0.9,.100,,0.7,-0.1,0.6,0.3
132,Dorian Finney-Smith\finnedo01,PF,23,DAL,58,1197,8.1,.529,.587,.209,3.3,11.9,7.4,5.8,1.6,1.4,12.8,11.2,,0.3,1.1,1.4,.056,,-2.3,1.4,-0.9,0.3
133,Bryn Forbes\forbebr01,SG,23,SAS,20,95,4.7,.440,.500,.036,1.2,8.1,4.8,4.4,0.5,0.0,0.0,13.5,,0.0,0.1,0.1,.039,,-3.1,-2.3,-5.4,-0.1
134,Evan Fournier\fournev01,SG,24,ORL,47,1560,13.3,.540,.353,.293,2.3,8.9,5.5,16.6,1.5,0.2,12.8,23.6,,0.7,0.9,1.6,.050,,0.2,-1.7,-1.5,0.2
135,Randy Foye\foyera01,SG,33,BRK,45,852,6.6,.497,.607,.165,1.0,12.3,6.7,16.0,1.1,0.6,21.0,15.2,,-0.7,0.3,-0.4,-0.023,,-3.6,-1.2,-4.8,-0.6
136,Tim Frazier\fraziti01,PG,26,NOP,44,1076,13.1,.518,.287,.329,2.2,9.8,6.0,33.4,1.7,0.5,18.7,17.8,,0.7,0.9,1.6,.072,,-1.2,-1.2,-2.4,-0.1
137,Channing Frye\fryech01,C,33,CLE,51,963,14.9,.581,.640,.144,3.4,18.1,11.0,5.7,1.0,2.2,8.2,20.2,,1.4,1.0,2.4,.119,,0.6,-1.4,-0.8,0.3
138,Danilo Gallinari\gallida01,SF,28,DEN,47,1594,16.3,.606,.412,.517,1.8,14.7,8.2,9.3,1.0,0.5,8.8,19.6,,4.1,0.4,4.5,.135,,2.3,-2.1,0.2,0.9
139,Langston Galloway\gallola01,PG,25,TOT,57,1135,11.0,.504,.608,.117,1.8,9.6,5.7,9.1,1.7,0.4,5.7,19.3,,0.1,0.9,1.1,.045,,-0.4,-1.8,-2.2,-0.1
139,Langston Galloway\gallola01,PG,25,NOP,55,1120,11.2,.508,.608,.118,1.9,9.6,5.7,9.0,1.7,0.4,5.7,19.5,,0.2,0.9,1.1,.048,,-0.3,-1.8,-2.1,0.0
139,Langston Galloway\gallola01,PG,25,SAC,2,15,-2.9,.000,.667,.000,0.0,7.7,3.9,17.3,0.0,0.0,0.0,9.0,,-0.1,0.0,-0.1,-0.167,,-9.4,-3.5,-12.9,0.0
140,Marc Gasol\gasolma01,C,32,MEM,57,1961,21.3,.562,.228,.302,2.7,18.1,10.2,24.1,1.4,3.9,10.7,26.8,,3.9,2.9,6.8,.166,,2.6,2.3,4.9,3.4
141,Pau Gasol\gasolpa01,C,36,SAS,41,1076,19.4,.568,.125,.276,6.8,27.0,17.2,15.7,0.8,3.6,10.4,20.2,,2.0,2.0,4.0,.180,,0.5,3.1,3.5,1.5
142,Rudy Gay\gayru01,SF,30,SAC,30,1013,18.0,.559,.256,.312,4.0,17.7,10.9,14.1,2.3,2.4,12.8,25.7,,0.9,1.1,2.0,.092,,0.2,0.6,0.8,0.7
143,Michael Gbinije\gbinimi01,SG,24,DET,9,32,-2.1,.184,.400,.200,6.8,3.5,5.2,7.9,0.0,0.0,0.0,15.2,,-0.1,0.0,-0.1,-0.137,,-7.6,-2.7,-10.3,-0.1
144,Alonzo Gee\geeal01,SF,29,DEN,13,89,3.0,.306,.214,.643,4.9,12.6,8.7,8.3,2.7,0.9,18.2,10.4,,-0.1,0.1,-0.1,-0.037,,-5.5,0.8,-4.7,-0.1
145,Paul George\georgpa01,SF,26,IND,53,1869,18.1,.564,.347,.276,2.8,16.4,9.8,15.7,2.2,0.8,13.0,28.0,,1.7,2.0,3.6,.094,,1.7,-0.5,1.3,1.5
146,Jonathan Gibson\gibsojo01,PG,29,DAL,17,231,9.7,.492,.474,.305,0.5,11.2,5.6,18.8,1.8,0.0,16.3,26.4,,-0.3,0.2,-0.1,-0.026,,-3.2,-2.2,-5.4,-0.2
147,Taj Gibson\gibsota01,PF,31,TOT,57,1544,15.5,.543,.022,.219,8.4,19.3,13.8,6.5,0.9,2.6,11.4,19.3,,1.4,1.7,3.2,.099,,-1.9,0.3,-1.6,0.2
147,Taj Gibson\gibsota01,PF,31,CHI,55,1502,15.7,.549,.023,.225,8.5,19.3,13.8,6.5,0.9,2.7,11.7,19.1,,1.5,1.7,3.2,.103,,-1.7,0.4,-1.3,0.3
147,Taj Gibson\gibsota01,PF,31,OKC,2,42,7.6,.393,.000,.091,5.3,18.2,11.8,3.8,1.2,0.0,4.2,24.1,,-0.1,0.0,0.0,-0.028,,-8.7,-4.3,-12.9,-0.1
148,Manu Ginobili\ginobma01,SG,39,SAS,51,946,14.4,.534,.515,.261,2.6,11.1,7.0,19.7,3.2,1.2,15.2,20.4,,0.7,1.7,2.4,.120,,0.8,1.4,2.2,1.0
149,Rudy Gobert\goberru01,C,24,UTA,59,1980,22.1,.673,.002,.857,13.8,29.8,22.1,5.1,1.1,6.1,16.4,16.2,,5.5,4.6,10.1,.244,,0.7,4.6,5.4,3.7
150,Archie Goodwin\goodwar01,SG,22,NOP,3,30,19.7,.798,.400,2.000,0.0,0.0,0.0,4.6,0.0,2.7,0.0,13.9,,0.2,0.0,0.2,.288,,2.2,-4.1,-1.9,0.0
151,Aaron Gordon\gordoaa01,SF,21,ORL,58,1601,12.9,.506,.337,.246,5.2,13.4,9.2,11.3,1.3,1.3,8.9,19.6,,0.7,1.3,2.0,.059,,-0.9,-0.4,-1.2,0.3
152,Eric Gordon\gordoer01,SG,28,HOU,55,1672,14.2,.565,.654,.163,1.2,8.2,4.7,13.9,1.0,1.3,10.1,23.5,,2.1,1.0,3.2,.091,,1.7,-2.8,-1.1,0.4
153,Marcin Gortat\gortama01,C,32,WAS,57,1962,15.9,.604,.002,.233,10.6,26.3,18.6,6.5,0.8,2.5,13.6,14.5,,3.3,2.6,5.9,.145,,-0.6,1.7,1.1,1.5
154,Treveon Graham\grahatr01,SG,23,CHO,19,113,7.0,.580,.444,.556,1.9,12.3,7.1,6.2,0.9,0.0,8.2,9.6,,0.1,0.1,0.2,.087,,-2.9,-1.1,-4.0,-0.1
155,Jerami Grant\grantje01,SF,22,TOT,58,1230,10.5,.561,.322,.466,2.3,12.0,7.2,4.0,1.1,4.2,9.1,12.1,,1.0,1.4,2.5,.096,,-3.0,1.0,-2.0,0.0
155,Jerami Grant\grantje01,SF,22,PHI,2,41,3.3,.390,.118,.471,0.0,18.8,9.4,0.0,0.0,7.8,12.8,24.9,,-0.2,0.1,-0.1,-0.138,,-13.9,-2.4,-16.3,-0.1
155,Jerami Grant\grantje01,SF,22,OKC,56,1189,10.7,.573,.336,.466,2.4,11.8,7.1,4.1,1.1,4.1,8.9,11.7,,1.2,1.4,2.6,.104,,-2.6,1.1,-1.5,0.2
156,Jerian Grant\grantje02,PG,24,CHI,48,785,11.6,.543,.427,.282,1.6,9.1,5.3,14.1,2.3,0.6,12.7,16.2,,0.7,0.8,1.5,.090,,-0.7,-0.6,-1.3,0.1
157,Danny Green\greenda02,SG,29,SAS,50,1329,10.9,.569,.711,.055,1.6,11.9,6.9,9.3,2.1,2.4,13.5,13.1,,0.7,2.2,2.9,.105,,0.6,2.5,3.0,1.7
158,Draymond Green\greendr01,PF,26,GSW,56,1826,16.8,.528,.407,.330,4.8,21.3,13.6,27.8,3.1,3.5,20.2,15.7,,2.3,4.0,6.4,.167,,0.7,5.1,5.9,3.6
159,Gerald Green\greenge01,SG,31,BOS,36,410,12.4,.512,.453,.144,4.1,13.7,8.9,11.3,0.9,1.0,7.7,22.7,,0.2,0.3,0.5,.053,,-1.4,-2.9,-4.3,-0.2
160,JaMychal Green\greenja01,PF,26,MEM,58,1659,12.9,.587,.288,.356,8.6,21.0,14.6,6.7,1.2,1.7,14.4,14.2,,2.2,2.3,4.5,.131,,-0.7,1.6,0.9,1.2
161,Jeff Green\greenje02,SF,30,ORL,58,1341,10.2,.503,.357,.321,2.6,12.2,7.3,7.9,1.2,0.7,10.9,20.1,,-0.2,0.9,0.7,.024,,-2.8,-1.5,-4.3,-0.8
162,Blake Griffin\griffbl01,PF,27,LAC,39,1314,24.0,.558,.067,.433,7.1,21.1,14.3,26.4,1.6,1.2,10.4,29.5,,3.4,1.6,5.1,.185,,3.4,1.7,5.1,2.3
163,Justin Hamilton\hamilju01,C,26,BRK,50,977,13.0,.535,.502,.112,6.8,17.3,12.1,7.1,1.2,3.1,10.2,15.5,,0.6,0.7,1.4,.067,,-1.3,0.4,-0.9,0.3
164,A.J. Hammons\hammoaj01,C,24,DAL,17,77,9.8,.455,.273,.455,7.2,23.9,15.2,4.1,0.0,7.0,10.2,18.1,,-0.1,0.1,0.0,.018,,-6.7,1.1,-5.5,-0.1
165,Tim Hardaway\hardati02,SG,24,ATL,57,1439,14.3,.551,.476,.209,1.5,9.5,5.5,13.6,1.2,0.7,9.0,22.5,,1.3,1.3,2.6,.088,,0.6,-1.8,-1.2,0.3
166,James Harden\hardeja01,PG,27,HOU,61,2227,27.3,.613,.486,.589,3.5,21.2,12.3,50.7,2.0,1.0,19.7,34.1,,8.8,2.8,11.6,.251,,8.5,1.5,10.0,6.7
167,Maurice Harkless\harklma01,SF,23,POR,54,1579,13.2,.559,.337,.166,6.1,11.8,8.9,5.3,2.0,2.6,11.0,16.2,,1.3,1.2,2.5,.076,,-0.3,0.5,0.2,0.9
168,Montrezl Harrell\harremo01,PF,23,HOU,49,903,19.4,.659,.010,.336,8.8,13.4,11.1,10.5,1.0,3.1,10.6,17.8,,2.6,0.9,3.5,.186,,1.0,0.2,1.2,0.7
169,Devin Harris\harride01,PG,33,DAL,42,705,12.0,.521,.512,.371,1.4,13.1,7.0,17.1,1.9,0.4,12.1,18.9,,0.4,0.7,1.1,.073,,-1.2,-0.4,-1.5,0.1
170,Gary Harris\harriga01,SG,22,DEN,35,1013,16.2,.590,.391,.207,3.3,8.8,6.0,12.9,2.0,0.5,9.7,19.4,,2.0,0.3,2.4,.112,,2.6,-1.8,0.8,0.7
171,Joe Harris\harrijo01,SG,25,BRK,50,1107,9.3,.562,.605,.139,1.4,12.0,6.8,7.5,1.3,0.5,12.6,16.5,,0.2,0.4,0.6,.028,,-1.4,-1.5,-2.9,-0.2
172,Tobias Harris\harrito02,PF,24,DET,59,1873,16.5,.574,.298,.203,2.0,16.1,8.9,8.3,1.1,1.3,8.4,21.8,,2.7,2.1,4.7,.122,,0.8,0.1,0.9,1.4
173,Aaron Harrison\harriaa01,SG,22,CHO,5,17,-2.1,.102,.500,.500,0.0,18.8,9.5,22.8,0.0,0.0,0.0,12.8,,-0.1,0.0,0.0,-0.137,,-9.4,-1.7,-11.1,0.0
174,Andrew Harrison\harrian01,SG,22,MEM,54,1165,8.7,.473,.438,.551,1.8,8.3,5.0,20.2,2.0,1.5,15.8,16.2,,0.0,1.4,1.4,.058,,-2.4,0.3,-2.1,0.0
175,Udonis Haslem\hasleud01,C,36,MIA,16,129,8.8,.542,.091,.682,6.8,23.0,14.9,6.5,2.0,0.6,21.9,12.6,,0.0,0.2,0.2,.074,,-4.6,1.3,-3.4,0.0
176,Spencer Hawes\hawessp01,PF,28,CHO,35,626,14.7,.545,.252,.156,5.5,19.4,12.5,16.3,1.0,3.6,14.7,19.5,,0.3,0.9,1.2,.092,,-1.7,1.6,-0.1,0.3
177,Gordon Hayward\haywago01,SF,26,UTA,52,1806,23.1,.604,.327,.425,2.3,16.0,9.4,18.3,1.4,0.6,9.2,27.7,,5.8,2.6,8.4,.222,,4.6,0.2,4.9,3.1
178,Gerald Henderson\hendege02,SG,29,PHI,54,1312,11.8,.552,.292,.306,1.8,9.8,5.8,11.0,1.2,0.7,9.3,17.9,,1.2,0.9,2.1,.077,,-1.3,-1.1,-2.4,-0.1
179,John Henson\hensojo01,C,26,MIL,48,963,14.6,.553,.004,.381,8.2,20.8,14.6,8.0,1.3,5.7,13.7,16.5,,0.9,1.2,2.1,.104,,-2.6,2.2,-0.4,0.4
180,Juan Hernangomez\hernaju01,PF,21,DEN,42,522,14.2,.588,.470,.351,6.7,18.9,12.8,5.3,1.8,1.8,8.8,13.7,,0.9,0.4,1.3,.117,,0.3,-0.7,-0.5,0.2
181,Willy Hernangomez\hernawi01,C,22,NYK,52,852,18.6,.583,.045,.287,13.2,26.9,20.0,10.4,1.3,2.8,17.0,18.4,,1.3,1.0,2.3,.129,,-0.7,0.7,0.0,0.4
182,Mario Hezonja\hezonma01,SF,21,ORL,43,515,6.7,.460,.451,.092,2.1,14.4,8.1,10.1,1.5,1.3,16.9,19.8,,-1.0,0.4,-0.5,-0.047,,-5.2,-0.9,-6.2,-0.5
183,Roy Hibbert\hibbero01,C,30,CHO,42,671,13.4,.613,.000,.521,8.6,15.8,12.2,4.5,0.6,5.6,14.9,13.8,,1.0,0.9,1.9,.136,,-2.8,2.1,-0.7,0.2
184,Buddy Hield\hieldbu01,SG,23,TOT,60,1240,10.1,.509,.508,.082,1.6,13.6,7.6,10.2,0.8,0.5,9.8,20.5,,-0.5,0.9,0.4,.015,,-2.0,-2.0,-4.0,-0.6
184,Buddy Hield\hieldbu01,SG,23,NOP,57,1161,9.9,.502,.511,.070,1.7,13.4,7.5,10.5,0.8,0.5,9.0,20.4,,-0.4,0.8,0.4,.015,,-1.9,-2.0,-3.9,-0.5
184,Buddy Hield\hieldbu01,SG,23,SAC,3,79,12.5,.619,.464,.286,0.0,17.6,8.8,6.4,1.3,0.0,20.2,22.6,,0.0,0.0,0.0,.013,,-3.1,-3.2,-6.3,-0.1
185,Nene Hilario\hilarne01,C,34,HOU,51,878,17.7,.628,.026,.570,8.3,16.8,12.5,7.9,2.2,3.1,14.4,19.1,,1.6,1.2,2.9,.156,,-0.9,1.1,0.2,0.5
186,George Hill\hillge01,PG,30,UTA,34,1082,20.2,.606,.398,.338,2.0,10.0,6.1,22.0,1.7,0.7,10.0,23.9,,3.1,1.5,4.6,.203,,4.4,-0.1,4.3,1.7
187,Jordan Hill\hilljo01,C,29,MIN,5,40,5.8,.421,.000,.182,20.0,17.7,18.8,0.0,1.3,0.0,20.2,16.5,,0.0,0.0,0.0,-0.009,,-6.7,-6.0,-12.7,-0.1
188,Solomon Hill\hillso01,SF,25,NOP,58,1661,8.0,.538,.571,.274,1.9,11.7,6.7,8.4,1.5,1.2,13.8,11.0,,0.4,1.5,1.9,.055,,-1.9,1.2,-0.7,0.5
189,Darrun Hilliard\hillida01,SG,23,DET,27,290,3.5,.413,.375,.250,0.7,9.8,5.1,11.1,1.2,0.3,15.8,19.5,,-0.6,0.3,-0.4,-0.062,,-6.0,-1.3,-7.3,-0.4
190,Jrue Holiday\holidjr01,PG,26,NOP,45,1466,17.3,.538,.300,.218,2.6,10.7,6.6,37.4,2.3,1.5,17.9,24.5,,0.8,1.6,2.4,.079,,1.4,0.2,1.6,1.3
191,Justin Holiday\holidju01,SG,27,NYK,60,1171,12.3,.542,.532,.185,2.1,13.7,7.9,8.2,2.1,1.6,10.7,16.8,,0.8,0.9,1.7,.071,,-0.5,-0.6,-1.1,0.3
192,Rondae Hollis-Jefferson\holliro01,SF,22,BRK,54,1181,12.7,.521,.148,.504,4.6,20.6,12.7,14.4,2.1,1.7,16.9,18.3,,0.1,1.2,1.3,.052,,-3.3,1.6,-1.7,0.1
193,Richaun Holmes\holmeri01,C,23,PHI,34,564,17.6,.580,.148,.295,10.3,18.5,14.4,8.3,1.7,4.8,11.6,18.0,,0.8,0.8,1.6,.138,,-0.9,2.2,1.3,0.5
194,Rodney Hood\hoodro01,SG,24,UTA,42,1193,12.5,.523,.467,.164,1.1,12.9,7.2,11.0,1.1,0.6,8.5,23.0,,0.6,1.5,2.1,.084,,-0.1,-0.7,-0.9,0.3
195,Al Horford\horfoal01,C,30,BOS,48,1574,16.8,.534,.339,.152,4.3,18.1,11.3,23.4,1.1,3.7,11.5,20.3,,2.0,1.7,3.8,.115,,0.6,1.8,2.4,1.8
196,Danuel House\houseda01,SG,23,WAS,1,1,12.3,,,,0.0,100.0,56.5,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.175,,-16.6,-4.3,-20.8,0.0
197,Dwight Howard\howardw01,C,31,ATL,54,1583,21.7,.632,.005,.676,16.0,31.8,24.1,6.7,1.4,3.6,16.2,18.9,,3.3,3.2,6.5,.197,,-0.1,2.4,2.4,1.7
198,Marcelo Huertas\huertma01,PG,33,LAL,23,237,9.1,.417,.279,.250,0.9,10.4,5.5,31.4,2.1,0.7,20.1,17.0,,-0.2,0.1,-0.1,-0.023,,-4.5,-2.4,-6.9,-0.3
199,Josh Huestis\huestjo01,PF,25,OKC,1,7,61.8,.875,.500,.000,31.6,31.2,31.4,37.1,0.0,11.3,0.0,24.3,,0.1,0.0,0.1,.647,,25.2,6.1,31.3,0.1
200,Kris Humphries\humphkr01,PF,31,ATL,45,532,14.7,.552,.252,.380,9.6,22.0,15.9,6.3,1.0,2.5,11.2,17.6,,0.7,0.8,1.4,.130,,-2.2,0.1,-2.1,0.0
201,R.J. Hunter\hunterj01,SG,23,CHI,3,9,-3.2,.000,1.000,.000,0.0,12.3,6.0,0.0,0.0,0.0,0.0,4.8,,0.0,0.0,0.0,-0.093,,-9.2,-2.3,-11.5,0.0
202,Serge Ibaka\ibakase01,PF,27,TOT,59,1816,17.4,.569,.306,.128,6.1,18.5,12.2,5.7,1.0,4.2,8.2,20.9,,2.3,2.0,4.3,.114,,0.0,0.5,0.5,1.1
202,Serge Ibaka\ibakase01,PF,27,ORL,56,1710,17.6,.569,.304,.129,6.3,18.5,12.3,5.9,1.0,4.3,8.2,21.0,,2.2,1.9,4.1,.115,,0.1,0.6,0.7,1.2
202,Serge Ibaka\ibakase01,PF,27,TOR,3,106,14.6,.561,.341,.098,4.2,18.3,11.2,3.0,1.4,2.5,8.6,19.7,,0.1,0.1,0.2,.100,,-1.2,-1.5,-2.7,0.0
203,Andre Iguodala\iguodan01,SF,33,GSW,57,1466,13.0,.593,.454,.211,3.3,13.1,8.5,16.7,1.8,1.4,12.3,10.2,,2.6,2.0,4.6,.150,,0.8,1.7,2.6,1.7
204,Ersan Ilyasova\ilyaser01,PF,29,TOT,59,1567,14.8,.545,.462,.217,5.5,18.8,12.1,11.1,1.2,0.8,10.1,23.2,,1.2,1.5,2.7,.084,,0.5,-1.2,-0.7,0.5
204,Ersan Ilyasova\ilyaser01,PF,29,OKC,3,62,6.9,.469,.750,.000,3.6,24.7,14.2,2.3,2.4,1.3,20.0,13.7,,-0.1,0.1,0.0,.012,,-5.8,-0.4,-6.2,-0.1
204,Ersan Ilyasova\ilyaser01,PF,29,PHI,53,1447,15.4,.553,.460,.219,5.4,18.5,11.9,11.6,1.1,0.8,9.9,23.7,,1.4,1.4,2.7,.091,,1.0,-1.2,-0.2,0.7
204,Ersan Ilyasova\ilyaser01,PF,29,ATL,3,58,7.3,.388,.333,.292,9.6,20.5,15.1,7.7,0.9,1.5,10.0,22.7,,-0.1,0.1,0.0,-0.020,,-5.9,-1.5,-7.5,-0.1
205,Joe Ingles\inglejo01,SF,29,UTA,59,1298,13.0,.621,.614,.162,1.1,13.8,7.7,16.4,2.8,0.3,17.5,13.6,,1.6,2.2,3.8,.141,,1.1,2.2,3.2,1.7
206,Brandon Ingram\ingrabr01,SF,19,LAL,60,1678,7.4,.457,.304,.325,2.7,13.3,7.8,10.0,0.8,1.3,12.6,15.8,,-0.9,0.4,-0.5,-0.013,,-3.5,-0.9,-4.4,-1.0
207,Kyrie Irving\irvinky01,PG,24,CLE,52,1826,22.1,.570,.314,.222,2.3,7.8,5.1,30.3,1.7,0.7,11.0,30.4,,4.9,1.3,6.2,.164,,4.3,-1.9,2.4,2.0
208,Jarrett Jack\jackja01,PG,33,NOP,1,25,9.5,.773,.333,.667,0.0,0.0,0.0,22.5,2.0,0.0,34.0,10.4,,0.0,0.0,0.0,.088,,-4.3,-6.0,-10.4,-0.1
